Status usu?o;Data-base in?;Ordem;Nota;Tipo de ordem;Status sistema;Loc.instala?;TEXTO;Denomina?;Tipo ativid.PM;
MAOB;12/08/2019;22181469;11930880;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-12-01;FALHA DE SINCRONISMO DOS PRATOS;ROTULADORA I - K406194;120;LINHA 02 - VIDRO
MAOB;12/08/2019;22181470;11930881;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-12-02;FALHA DE SINCRONISMO E PULSO POR VOLTA;ROTULADORA II - K406195;115;LINHA 02 - VIDRO
MAOB;13/08/2019;22181639;11930804;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-17-01;FALHA DE SEGURAN? PORTA ENVOLVEDORA 1;ENVOLVEDORA I;115;LINHA 01 - LATA
MAOB;13/08/2019;22181640;11930887;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-24-01;TAMPA AMASSADA NO CARROSSEL;MAGAZINE DE TAMPAS - K826-2B2;115;LINHA 03 - LATA
MAOB;12/08/2019;22181642;11930921;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-09-01;CHAVE SELETORA DA IHM NÏ FUNCIONA;ENCHEDORA DE LATAS - K232-139;120;LINHA 03 - LATA
MAOB;13/08/2019;22181643;11930925;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-20-01;MAL FORMA?O DOS PALETES;PALETIZADOR I;120;LINHA 01 - LATA
MAOB;13/08/2019;22181644;11930926;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-12-03;ATUADOR DO MAGAZINE DE SELO VAZANDO;SELADORA III;120;LINHA 01 - LATA
MAOB;13/08/2019;22181645;11930927;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-18-01;LATA TOMBADA NA ENTRADA DA VARIOPAC 01;EMPACOTADORA I;120;LINHA 01 - LATA
MAOB;13/08/2019;22181648;11930929;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-18-01;ESTEIRA DE ENTRADA TRAVADA;EMPACOTADORA - KR96560;115;LINHA 02 - VIDRO
MAOB;13/08/2019;22181679;11930998;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-04-01-16-02;VLVULA (VOC.2323) APRESENTANDO FALHA NO;TANQUES DE FERMENTA?O;120;PROCESSO
MAOB;13/08/2019;22181680;11930805;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-12-01;EXPULSANDO LATAS BOAS;SELADORA I;120;LINHA 01 - LATA
MAOB;12/08/2019;22181698;11930958;ZM01;ENCE CONF CAPC DNAT NOLQ SCDM;2015-20-20-01-20-01;VTPA044 - Falha no bloqueador de palete.;PALETIZADORA - KR63754;115;LINHA 02 - VIDRO
MAOB;14/08/2019;22181701;11930972;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-27-01;CORRENTE DO TRANSPORTE DE PALETE P2201 S;TRANSPORTE DE PALETES;110;LINHA 04 - VIDRO
MAOB;10/08/2019;22181702;11930973;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-20-01;FALHA NA ESTA?O DE AGRUPAMENTO.;PALETIZADOR I;120;LINHA 01 - LATA
DISM PROG;14/08/2019;22181707;11930978;ZM01;ENCE CONF IMPR CAPC MOME MatC NOLQ;2015-20-20-01-03;MONTAGEM DAS ESTRELA DOS ENGUINCHOS DA L;LAVAGEM DE GARRAFAS;120;LINHA 02 - VIDRO
MAOB;13/08/2019;22181750;11931018;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-09-01;CHAVE DA IHM QUEBRADA DENTRO DO BOTÏ;ENCHEDORA DE LATAS - K232-139;110;LINHA 03 - LATA
MAOB;13/08/2019;22181753;11931019;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-20-02;COLISÏ DO CABE?TE COM OS PACOTES.;PALETIZADOR II - KR63-G57;120;LINHA 03 - LATA
MAOB;14/08/2019;22181769;11935515;ZM01;ENCE CAPC NOLQ SCDM;2015-20-21-01-27-01;base do redutor folgada;TRANSPORTE DE PALETES-DPL LATAS;110;LINHA 01 - LATA
DISM PROG;14/08/2019;22183956;11934737;ZM01;ENCE CONF CAPC IMPA MOME MatC NOLQ;2015-20-20-01-08-01;Queda de garrafas;RINSER;120;LINHA 02 - VIDRO
MAOB;13/08/2019;22183957;11934739;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-28-01;Desacarrilhamento de esteira G2310;TRANSPORTE DPL-DCX;115;LINHA 02 - VIDRO
MAOB;13/08/2019;22186088;11935322;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-20-02;FALHA NA ALIMENTA?O DO LINK X2X DO PHM;PALETIZADOR II;115;LINHA 01 - LATA
MAOB;13/08/2019;22186238;11935490;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-23-01;Set up na linha 1;RECRAVADORA DE LATAS;110;LINHA 01 - LATA
MAOB;14/08/2019;22186252;11935580;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-11-01;Baixa press?depois do filtro Y;PASTEURIZADOR;115;LINHA 01 - LATA
MAOB;14/08/2019;22186256;11935585;ZM01;ENCE CAPC MOME MatC NOLQ;2015-20-21-01-12-01;QUEBRA DO SUPORTE SEL I LI;SELADORA I;110;LINHA 01 - LATA
MAOB;14/08/2019;22186258;11935640;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-20-02;COLISÏ DO CABE?TE NA CAMADA NO PALETE;PALETIZADOR II;120;LINHA 01 - LATA
MAOB;13/08/2019;22186260;11935496;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-29-01;Descarrilhamento das esteiras;TRANSPORTE DCX -SEKAMAT I/II;120;LINHA 02 - VIDRO
MAOB;13/08/2019;22186261;11935499;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-20-02;Desmontagem e montagem do servo;PALETIZADOR II;115;LINHA 01 - LATA
MAOB;14/08/2019;22186262;11935502;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-17-01;Esteira trepidando;ENVOLVEDORA I - K824-2PI;120;LINHA 03 - LATA
MAOB;13/08/2019;22186275;11935538;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-23-01;Set up de 550ml para 269ml;RECRAVADORA DE LATAS;110;LINHA 01 - LATA
MAOB;14/08/2019;22186276;11935539;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-03-01;Sobrecarga do motor 13;LAVADORA DE GARRAFAS - K682379;115;LINHA 02 - VIDRO
MAOB;13/08/2019;22186279;11935593;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-20-01-20-02;FALHA ACIONAMENTO DO TRANSPORTE PALETE.;PALETIZADORA BICADAS 300 ML - KR63756;120;LINHA 02 - VIDRO
MAOB;13/08/2019;22186291;11935543;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-04-01;ESTEIRA TRAVADA.;LAVADORA DE CAIXAS - K690-722;115;LINHA 04 - VIDRO
MAOB;15/08/2019;22186305;11935557;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-22-01-09-01;BARRIS MAL CHEIO;ENCHEDORA DE BARRIS;110;ENVASE CHOP
MAOB;13/08/2019;22186312;11935676;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-12-02;DATADOR DESAJUSTADO;ROTULADORA II - K406195;120;LINHA 02 - VIDRO
MAOB;13/08/2019;22186318;11935677;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-18-01;VLVULA DE COLA NÏ ACIONAVA EM AUTO;EMPACOTADORA - KR96560;120;LINHA 02 - VIDRO
MAOB;14/08/2019;22186358;11935734;ZM01;ENCE CONF CAPC DNAT NOLQ SCDM;2015-00-05-01-03-07;SENSOR (W-BBT1PAN01B711GS) DA PALCA DO B;ESTOCAGEM FILTRA?O - BBT 01;120;PROCESSO
MAOB;14/08/2019;22186361;11935596;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-21-02-18-01;TRAVA DA BARRA DE DESLISE DANIFICADA.;EMPACOTADORA I - KR96 - I91;120;LINHA 03 - LATA
MAOB;14/08/2019;22186513;11935604;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-12-03;FALHA NO SENSOR DA EMBREAGEM SEL III;SELADORA III;120;LINHA 01 - LATA
MAOB;14/08/2019;22186514;11935605;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-05-02;FALHA INSPE?O CONCORR?CIA SEKAMAT 1;SEKAMAT 704 - I - K704320;120;LINHA 02 - VIDRO
MAOB;13/08/2019;22186557;11935715;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-12-02;ERRO NA EXPULSÏ DE LATAS ROTULO IDENTID;SELADORA II;120;LINHA 01 - LATA
MAOB;14/08/2019;22186560;11935651;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-09-01;DERRAMANDO CERVEJA NO CORRENTÏ;ENCHEDORA LATAS;115;LINHA 01 - LATA
MAOB;14/08/2019;22186561;11935652;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-12-02;LATAS ESTOURANDO NO SEM FIM DE ENTRADA;SELADORA II;110;LINHA 01 - LATA
MAOB;13/08/2019;22186562;11935654;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-03-01;TRAVAMENTO MOTOR ESTEIRA EXTRA?O ROT;LAVADORA DE GARRAFAS - K682-521;120;LINHA 04 - VIDRO
MAOB;13/08/2019;22186563;11935658;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-05-02;NÏ DETECTA GARRAFA TESTE DE BOCA;INSPETOR LINATRONIC - K735-H46;115;LINHA 04 - VIDRO
MAOB;13/08/2019;22186564;11935690;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-20-02;FALHA NA FORMA?O DE CAMADAS;PALETIZADOR II;120;LINHA 01 - LATA
DISM PROG;14/08/2019;22186606;11935701;ZM01;ENCE CONF IMPR CAPC NOLQ;2015-20-20-01-03-01-03-61;tombamento de garrafas na sa?;MESA DE DESCARGA;115;LINHA 02 - VIDRO
MAOB;14/08/2019;22186608;11935702;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-29-22;tombamento de garrafas trp B39-16;TRANSP. ENCHEDORA - PASTEURIZADOR;120;LINHA 04 - VIDRO
DISM PROG;16/08/2019;22186628;11935728;ZM01;ENCE CONF CAPC IMPA MOME MatC NOLQ;2015-20-20-01-03-01;VERIFICAR MOTOTRES DESLIGADOS;LAVADORA DE GARRAFAS - K682379;110;LINHA 02 - VIDRO
MAOB;14/08/2019;22186631;11935729;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-00-05-01-02;BOMBA DE CIP (CIP5VCI04M101) APRESENTAND;CIP FILTRA?O;120;PROCESSO
MAOB;14/08/2019;22186637;11935817;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-28-05;travamento do motor G28-48.;TRANSPORTE ECX-PL;115;LINHA 04 - VIDRO
MAOB;14/08/2019;22186657;11935768;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-17-01;queda da correia plana de giro do cab.;ENVOLVEDORA;120;LINHA 02 - VIDRO
MAOB;14/08/2019;22186659;11935769;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-29-08;Tomb de garrafas no trp B0-04A e B28-01A;TRANSPORTE SEKAMAT II-LAVADORA GARRAFAS;120;LINHA 02 - VIDRO
MAOB;14/08/2019;22186665;11935790;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-23-01;PERCA DE PRESSÏ PNEUMATICA NA ENTRADA;RECRAVADORA - K826-2B3;115;LINHA 03 - LATA
MAOB;14/08/2019;22186697;11935705;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-23-01-12-01;PRATO DE ROTULAGEM TRAVANDO> VIMOS QUE O;ROTULAGEM;120;OUTROS
MAOB;15/08/2019;22186722;11935850;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-06;EXCESSO DE TOMBAMENTO DE LATAS: NO TRANS;TRP PZ-TAXOMATIC I/II/III - MESA ACUMULO;120;LINHA 01 - LATA
MAOB;14/08/2019;22186760;11935822;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-29-22;Descarrilhamento do trp B46-12;TRANSPORTE PZ-RT II;115;LINHA 02 - VIDRO
MAOB;14/08/2019;22186761;11935824;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-23-01;Queda do tubo de alimenta?;ARROLHADOR;115;LINHA 02 - VIDRO
MAOB;14/08/2019;22186762;11935826;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-05-01;queda da correia trapezoidal;INSPETOR TOPTRONIC - K719610;115;LINHA 02 - VIDRO
MAOB;15/08/2019;22186765;11935876;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-03-01;Tombamento de garrafa na saida;LAVADORA DE GARRAFAS - K682379;120;LINHA 02 - VIDRO
MAOB;15/08/2019;22186766;11935877;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-36-02;Falha na datador;DATADOR - ROTULADORA 02;115;LINHA 02 - VIDRO
MAOB;14/08/2019;22186768;11935879;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-05-01;FALHA SEG. BOT EMERG.;INSPETOR TOPTRONIC - K719610;115;LINHA 02 - VIDRO
MAOB;15/08/2019;22186769;11935950;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-06-02;FALHA CONTROLE DE REJEI?O 2;CHECKMAT ENCHEDORA - K731-CHC;115;LINHA 04 - VIDRO
MAOB;15/08/2019;22186771;11935952;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-20-01;DESARME DO MOTOR DA MESA DE CARGA;PALETIZADORA - KR63-G58;120;LINHA 04 - VIDRO
MAOB;14/08/2019;22186778;11935979;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-12-03;AJUSTE SETUP;SELADORA III;110;LINHA 01 - LATA
MAOB;14/08/2019;22186779;11936013;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-27-02;SOBRECARGA NO TRANSPORTADOR (P21-06);TRANSPORTE DE PALETES;120;LINHA 03 - LATA
MAOB;13/08/2019;22186796;11935911;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-19-01;GUIA DO MEXEDOR DANIFICADO.;ENCAIXOTADORA - KR623-331;115;LINHA 04 - VIDRO
MAOB;14/08/2019;22186832;11935980;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-12-01;AJUSTE DE SETUP;SELADORA I;110;LINHA 01 - LATA
MAOB;14/08/2019;22186888;11935914;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-04-01;descarrilhamento de esteira;LAVADORA DE CAIXAS - K690-722;115;LINHA 04 - VIDRO
MAOB;15/08/2019;22186892;11936002;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20;PORTA TRAVADA.;ENVASAMENTO - GARRAFAS;120;OUTROS
MAOB;15/08/2019;22186926;11935965;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-27-02;CAIU A CORRENTE DE ACIONAMENTO;TRANSPORTE DE PALETES;120;LINHA 01 - LATA
MAOB;15/08/2019;22186927;11935966;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-27-02;TRANSPORTE DE PLETES TREPIDANDO;TRANSPORTE DE PALETES;120;LINHA 01 - LATA
MAOB;15/08/2019;22186928;11935967;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-18-01;CORRENTE TRANSPORTADORA DE PCT TRAVOU;EMPACOTADORA I;115;LINHA 01 - LATA
MAOB;15/08/2019;22186929;11935968;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-12-01;SELO SAINDO REBITADO NAS LATAS;SELADORA I;120;LINHA 01 - LATA
MAOB;15/08/2019;22186930;11935969;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-01-01-01;TRAVAMENTO DO MOTOR DO ESGRUMADOR;XAROPE COMPOSTO 01;120;OUTROS
MAOB;15/08/2019;22186931;11936040;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-08-01;TRAVAMENTO DA ESTEIRA DO RINSER;RINSER;120;LINHA 02 - VIDRO
MAOB;15/08/2019;22186932;11936041;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-02;ENROSCANDO LATAS NO TRECO 50;TRANSPORTE RINSER - ECH;115;LINHA 01 - LATA
MAOB;14/08/2019;22186956;11935991;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-11-01;FALTA DE GUA NOS TANQUES;PASTEURIZADOR;115;LINHA 01 - LATA
MAOB;15/08/2019;22187091;11936024;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-03-01;FALHA NA BARREIRA DE SEGURAN?;LAVADORA DE GARRAFAS - K682379;115;LINHA 02 - VIDRO
MAOB;15/08/2019;22187120;11936007;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-12-01;EXPULSANDO LATAS BOAS POR IDENTIDADE.;TAXOMATIC I - K084160;120;LINHA 03 - LATA
MAOB;15/08/2019;22187121;11936008;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-12-03;EXPULSANDO LATAS BOAS POR IDENTIDADE.;TAXOMATIC III - K084162;120;LINHA 03 - LATA
MAOB;15/08/2019;22187122;11936009;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-06-03;EXPULSÏ DE LATAS SELADAS SEL II;CHECKMAT TAXOMATIC II;120;LINHA 01 - LATA
MAOB;15/08/2019;22187123;11936030;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-20-02;DERRUBANDO PACOTES;PALETIZADOR II;120;LINHA 01 - LATA
MAOB;15/08/2019;22187125;11936032;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-05-01;EXPULSANDO LATAS BOAS;CANTRONIC 01 - CHECKMAT LATAS;120;LINHA 01 - LATA
MAOB;16/08/2019;22187132;11936064;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-28-01;DESCARRILHAMENTO DA ESTEIRA DO TRANSPORT;TRANSPORTE DPL-DCX;120;LINHA 04 - VIDRO
MAOB;14/08/2019;22187160;11936014;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-01-01;ERRO SENSORIAMENTO PALLET FALHA 5411;DESPALETIZADORA - KR63-G59;115;LINHA 04 - VIDRO
MAOB;14/08/2019;22187161;11936015;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-06-02;ERRO NO Ctrl DE INSPE?O;CHECKMAT TAXOMATIC I - K731CH6;120;LINHA 03 - LATA
MAOB;14/08/2019;22187162;11936016;ZM01;ENCE CONF CAPC DNAT NOLQ SCDM;2015-20-20-01-36-02;FALHA DE DESVIO DE GOTAS DATPRES 1 E 2;DATADOR - ROTULADORA 02;115;LINHA 02 - VIDRO
MAOB;14/08/2019;22187163;11936017;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-06-01;PUSHER 01 APRESENTA FALHA NA EXPULSÏ;INSPETOR LINATRONIC - K774-A32;120;LINHA 04 - VIDRO
MAOB;14/08/2019;22187164;11936018;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-11-05;DESARME BOMBA ZONA 08;BOMBAS;115;LINHA 04 - VIDRO
MAOB;12/08/2019;22187214;11936240;ZM01;ENCE CONF CAPC DNAT NOLQ SCDM;2015-20-20-01-12-02;ANOMALIA: A MQUINA ESTAVA PARADA, POIS;ROTULADORA II - K406195;120;LINHA 02 - VIDRO
MAOB;15/08/2019;22187270;11936186;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-23-01-12-01;Prato Direito Rotuladora;ROTULAGEM;110;OUTROS
MAOB;15/08/2019;22187280;11936119;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-05-01;CONFEC?O/ INSTALA?O TAGS;INSPETOR TOPTRONIC - K719610;110;LINHA 02 - VIDRO
MAOB;14/08/2019;22187292;11936157;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-06-02;FALHA MONITORA?O BARREIRA DE LUZ;CHECKMAT ENCHEDORA - K731-CHC;115;LINHA 04 - VIDRO
MAOB;15/08/2019;22187304;11936104;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-20-01;PALETIZADOR FORA DOS PASSO AUTOMTICOS;PALETIZADOR I - KR63-G56;115;LINHA 03 - LATA
MAOB;15/08/2019;22187306;11936106;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-06-04;CERA NÏ PRONTA.;CHECKMAT TAXOMATIC III - K731CH8;120;LINHA 03 - LATA
MAOB;15/08/2019;22187307;11936109;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-18-01;esteira de entrada parada;EMPACOTADORA - KR96560;115;LINHA 02 - VIDRO
MAOB;15/08/2019;22187308;11936230;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-01-02;garra de chapa tex derruabando garrafas;DESPALETIZADORA GRF NOVA - KR74411;115;LINHA 02 - VIDRO
MAOB;15/08/2019;22187309;11936231;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-02-01;queda de todas as garrafas das tulipas;DESENCAIXOTADORA - KR66253;115;LINHA 02 - VIDRO
MAOB;16/08/2019;22187310;11936233;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-11-01;SISTEMA DE PARADA DE EMERG?CIA TEM UMA;PASTEURIZADOR;115;LINHA 01 - LATA
MAOB;16/08/2019;22187344;11936250;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-40-42-02;Falha de compress?, 2 est?o Bellis;USINA GERACAO DE AR COMPRIMIDO - 02;110;UTILIDADES
MAOB;13/08/2019;22187352;11936257;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-28-01;DESARME DO TRANSPORTE DE ENTRADA DO ROBO;TRANSPORTE EPC II-ROBOBOX II;115;LINHA 01 - LATA
MAOB;15/08/2019;22187396;11936219;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-23-01-36;Falha de gotas no Datador;DATADORES E ETIQUETADORAS;110;OUTROS
MAOB;15/08/2019;22187397;11936220;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-23-01-09-01;V?ula de Enchimento 33;ENCHEDORA;110;OUTROS
MAOB;16/08/2019;22187419;11936281;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-29-21;tombamento de grfs no alinhador,entr.maq;TRANS.LINATRONIC INSP VAZIO I/II - ENCH.;120;LINHA 04 - VIDRO
MAOB;15/08/2019;22187458;11936315;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-28-02;descarrilhamento de esteira;TRANSPORTE DCX-LCX;115;LINHA 04 - VIDRO
MAOB;15/08/2019;22187459;11936317;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-03-01;ESTEIRA TRAVADA.;LAVADORA DE GARRAFAS - K682-521;120;LINHA 04 - VIDRO
MAOB;16/08/2019;22187500;11936282;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-14-02;falha de rejei? palet defeituoso;MAGAZINE DE PALETES RUINS;120;LINHA 04 - VIDRO
MAOB;16/08/2019;22187501;11936283;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-20-01-02;Falha de agrupamento;AGRUPAMENTO;115;LINHA 04 - VIDRO
MAOB;15/08/2019;22187503;11936286;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-08;Desalinhamento da engrenagem;TRANSPORTE PZ-TAXOMATIC II;115;LINHA 01 - LATA
MAOB;16/08/2019;22187504;11936287;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-28-01;Desarme do motor M2141 2X;TRANSPORTE DPL-DCX;120;LINHA 04 - VIDRO
MAOB;15/08/2019;22187505;11936289;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-12-01;queda de selo;SELADORA I;120;LINHA 01 - LATA
MAOB;15/08/2019;22187507;11936342;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-06;DESARME DO MOTOR 2422.M101 DO TRANSPORTE;TRP PZ-TAXOMATIC I/II/III - MESA ACUMULO;115;LINHA 01 - LATA
MAOB;15/08/2019;22187509;11936344;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-06;FALHA NA BARREIRA DE LUZ DA MESA DE ACUM;TRP PZ-TAXOMATIC I/II/III - MESA ACUMULO;115;LINHA 01 - LATA
MAOB;15/08/2019;22187521;11936323;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-12-01;MAGAZINE DE PALETE SEM PRESSÏ;TAXOMATIC I - K084160;120;LINHA 03 - LATA
MAOB;16/08/2019;22187522;11936327;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-09-01;GUIAS DE ENTRADA DO SEM-FIM DESAJUSTADO;ENCHEDORA - K136690;115;LINHA 02 - VIDRO
MAOB;16/08/2019;22187528;11936356;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-36-01;VELOCIDADE DO MOTOR FORA DA FAIXA;DATADOR - TAXOMATIC 01;120;LINHA 01 - LATA
MAOB;16/08/2019;22187530;11936401;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-29-22;GARRAFAS TOMBANDO AP? SAIDA ENCHEDORA;TRANSP. ENCHEDORA - PASTEURIZADOR;120;LINHA 04 - VIDRO
MAOB;16/08/2019;22187531;11936402;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-20-02;FALHA DE AGRUPAMENTO 5912;PALETIZADOR II;120;LINHA 01 - LATA
MAOB;16/08/2019;22187533;11936404;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-04;DESARME MOTOR 2422 T101;TRANSPORTE SAIDA SUPERIOR PZ-TAXOMATIC;120;LINHA 01 - LATA
MAOB;15/08/2019;22187569;11936265;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-12-03;esponja com folga;TAXOMATIC III - K084162;110;LINHA 03 - LATA
MAOB;16/08/2019;22187573;11936557;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-04-01-03-14;SENSOR COM FALHA;TANCAGEM MATURA?O 14;120;PROCESSO
MAOB;16/08/2019;22187574;11936558;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-00-01-06-01;MOTOR DESARMANDO POR SOBRECARGA;FILTRO MANGA;120;PROCESSO
MAOB;17/08/2019;22187575;11936559;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-03-01-03-05;TRANSDUTOR DE NIVEL DESCALIBRADO;TANCAGEM FERMENTA?O - YST05;120;PROCESSO
MAOB;15/08/2019;22187578;11936612;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-20;ANOMALIA: BAIXO RENDIMENTO DA MQUINA.;PALETIZA?O;120;LINHA 02 - VIDRO
MAOB;16/08/2019;22187579;11936613;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-29-22;TOMBAMENTO DE GARRAFAS;TRANSP. ENCHEDORA - PASTEURIZADOR;120;LINHA 04 - VIDRO
